Código de la muestra ,Fecha de Toma,Hora de la Toma,Municipio , Parque Público,Fecha de anáisis ,Hora de análisis ,Examen Macroscopico  -  Presencia de sangre,Examen Macroscopico  - Presencia de moco,Examen Macroscopico -  Presencia de alimentos sin digerir ,Color ,Consistencia ,Hallazgos Examen Directo (Solución Salina),Hallazgos Examen Directo (Lugol),Halazgos Flotación de Sheather,Estructuras Parasitarias ,Parásito zoonótico observado
BAR001,20/12/2025,9:00:00,Barbosa,Parque Lineal ,21/12/2025,9:16:00,Ausente,Presente,Presente,Amarillo ,Pastosa,Positivo ,Positivo ,Positivo ,Huevos,"Ancylostoma caninum, Toxocara Canis"
BAR002,20/12/2025,9:00:00,Barbosa,Parque Lineal ,21/12/2025,9:16:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
BAR003,20/12/2025,9:00:00,Barbosa,Parque Lineal ,21/12/2025,9:16:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
BAR004,20/12/2025,9:20:00,Barbosa,Parque Lineal ,21/12/2025,9:16:00,Ausente,Ausente,Presente,Café,Pastosa,Negativo,Negativo,Positivo ,Huevos,Toxocara Canis
BAR005,20/12/2025,9:45:00,Barbosa,Parque Lineal ,21/12/2025,9:16:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
BAR006,20/12/2025,9:45:00,Barbosa,Parque Lineal ,21/12/2025,9:16:00,Ausente,Presente,Presente,Amarillo ,Diarreica,Positivo ,Positivo ,Negativo,Quistes,Giardia intestinalis
BAR007,20/12/2025,9:45:00,Barbosa,Parque Lineal ,21/12/2025,9:16:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
BAR008,20/12/2025,10:03:00,Barbosa,Parque Lineal ,21/12/2025,9:16:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Positivo ,Huevos,Toxocara Canis
BAR009,20/12/2025,10:03:00,Barbosa,Parque Lineal ,21/12/2025,9:16:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
BAR010,20/12/2025,10:20:00,Barbosa,Parque Diego Echavarría Misas ,21/12/2025,9:16:00,Ausente,Ausente,Ausente,Café,Pastosa,Positivo ,Negativo,Positivo ,Huevos,Ancylostoma caninum
BAR011,20/12/2025,10:20:00,Barbosa,Parque Diego Echavarría Misas ,21/12/2025,13:37:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
BAR012,20/12/2025,10:20:00,Barbosa,Parque Diego Echavarría Misas ,21/12/2025,13:37:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
BAR013,20/12/2025,10:31:00,Barbosa,Parque Diego Echavarría Misas ,21/12/2025,13:37:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
BAR014,20/12/2025,10:31:00,Barbosa,Parque Diego Echavarría Misas ,21/12/2025,13:37:00,Ausente,Presente,Ausente,Café,Diarreica,Positivo ,Negativo,Positivo ,Huevos,Trichuris vulpis
BAR015,20/12/2025,10:31:00,Barbosa,Parque Diego Echavarría Misas ,21/12/2025,13:37:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
BAR016,20/12/2025,10:31:00,Barbosa,Parque Diego Echavarría Misas ,21/12/2025,13:37:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Positivo ,Huevos,Toxocara Canis
